pcode,Country 1,Border Name in Country 1,Country 2,Border Name in Country 2,loc_type,mod_by,mod_date,created_user,created_date,x,y
CAFCMRc000152,Central African Republic,Gbiti,Cameroon,Banga-Boumbe,Official,,"October 22, 2014",,,1637988.4056000002,523725.70010000095
CAFSDNc000157,Central African Republic,Am-Dafock,Sudan,,Other,,,UNHCR_WRITER,"May 2, 2023",2593576.0430999994,1170919.761500001
CAFSDNc000158,Central African Republic,Tissi 1,Sudan,,Other,,,UNHCR_WRITER,"May 2, 2023",2489898.6352999993,1135971.5617000014
CIVLBRc000006,Cote d'Ivoire,Daobly,Liberia,,Official,,,,,-837031.2888000011,653362.8134999983
CIVLBRc000004,Cote d'Ivoire,Pekan-Barrage,Liberia,,Official,,,,,-944563.6904999986,738540.9398000017
CIVLBRc000003,Cote d'Ivoire,Dohouba,Liberia,Buutuo,Official,,,,,-926821.8984000012,759226.0881000012
CIVLBRc000002,Cote d'Ivoire,Gbinta,Liberia,Kpantiaplay,Official,,,,,-930240.2115999982,808980.6887999997
CIVLBRc000005,Cote d'Ivoire,Zilebly,Liberia,,Official,,,,,-905417.0784000009,700596.7732000016
CIVLBRc000001,Cote d'Ivoire,Prollo,Liberia,,Official,,,,,-839395.7148000002,494147.6801000014
CMRNGAc000170,Cameroon,Kolofata,Nigeria,Kirawa,Official,,"January 23, 2015",,,1559892.813099999,1250502.3927000016
CMRNGAc000001,Cameroon,Ekok,Nigeria,Mfum,Not Official,,"April 27, 2018",,,984945.8376999982,648055.3165000007
CMRGABc000001,Cameroon,Abang-Minko,Gabon,Eboro,Official,,"September 28, 2016",,,1273051.2551999986,259111.6981999986
CMRGABc000002,Cameroon,Kye-Ossi,Gabon,Meyo Kye,Official,,"September 28, 2016",,,1262463.2131000012,242178.06379999965
CMRNGAc000169,Cameroon,Assighassia,Nigeria,Ashigashiya,Official,,"January 23, 2015",,,1543989.8960999995,1246279.8401999995
CMRNGAc000168,Cameroon,Fotokol,Nigeria,Gamboru,Official,,"January 23, 2015",,,1583524.0855999999,1388725.4532000013
CMRNGAc000002,Cameroon,Ngale,Nigeria,Kureke,Not Official,,"April 30, 2018",,,1053464.6539999992,719518.8586000018
CMRNGAc000171,Cameroon,Amchide,Nigeria,Banki,Official,,"February 25, 2015",,,1574490.5089000016,1259870.6532000005
CODCAFc000162,Democratic Republic of the Congo,Ngele rive,Central African Republic,,Official,,"October 22, 2014",,,2117514.281199999,533825.2485999987
CODCAFc000166,Democratic Republic of the Congo,Sidi,Central African Republic,,Official,,"October 22, 2014",,,2211871.022500001,559317.5573000014
CODCAFc000163,Democratic Republic of the Congo,Gbuda,Central African Republic,,Official,,"October 22, 2014",,,2267176.6011000015,523047.09959999844
CODCAFc000164,Democratic Republic of the Congo,Gbigu,Central African Republic,,Official,,"October 22, 2014",,,2106889.2391000018,518591.53599999845
CODCAFc000165,Democratic Republic of the Congo,Pandu,Central African Republic,Possel,Official,,"October 22, 2014",,,2144519.6085,558512.808699999
CODCAFc000160,Democratic Republic of the Congo,Mbobayi,Central African Republic,Mobaye,Official,,"October 22, 2014",,,2358469.327799998,479596.10599999875
CODCAFc000167,Democratic Republic of the Congo,Banda Kilimoto,Central African Republic,,Official,,"October 22, 2014",,,2172682.9541000016,571781.2289999984
CODCAFc000159,Democratic Republic of the Congo,Lembo,Central African Republic,,Official,,"October 22, 2014",,,2351517.8577000014,482456.1799999997
SSDUGAc000134,Democratic Republic of the Congo,Kerei,Uganda,,Not Official,,"June 4, 2014",,,3443401.966600001,390597.5020000003
CODCAFc000161,Democratic Republic of the Congo,Zongo,Central African Republic,Bangui,Official,,"October 22, 2014",,,2070566.1383000016,485149.8528999984
CODCAFc000158,Democratic Republic of the Congo,Libenge,Central African Republic,,Official,,"October 22, 2014",,,2073861.953499999,405764.57030000165
COBCODc000157,Republic of the Congo,Monzombo,Democratic Republic of the Congo,,Official,,"October 22, 2014",,,2046651.807599999,350317.3231000006
COLVEN000003,Colombia,Arauca,Bolivarian Republic of Venezuela,El Amparo,Not Official,,"February 8, 2018",,,-7875853.9736,790529.3048
COLECU000001,Colombia,Rumichaca,Ecuador,,Not Official,,"February 8, 2018",,,-8645523.1174,90623.29890000075
COLVEN000002,Colombia,Paraguachón,Bolivarian Republic of Venezuela,Guarero,Not Official,,"February 8, 2018",,,-8029425.3956,1272960.2641999982
COLVEN000001,Colombia,Villa del Rosario,Bolivarian Republic of Venezuela,San Antonio del Tachira,Not Official,,"February 8, 2018",,,-8065075.4625,872968.4508000016
COLECU000002,Colombia,Chiles,Ecuador,Tufino,Official,,"May 17, 2018",,,-8665764.7115,90239.82660000026
COLECU000003,Colombia,San Miguel,Ecuador,,Official,,,,,-8557790.9898,27972.203899998218
DEUAUTc000001,Germany,Passau,Austria,Achleiten,Not Official,,"October 19, 2015",,,1496621.4243,6201370.7522
DJISOMc000094,Djibouti,Loyado,Somalia,Lowyacado,Not Official,,"November 15, 2012",,,4814180.6963,1284704.2261999995
DZANERc000001,Algeria,Ain Guezzam,Niger,Assamakka,Not Official,,"March 26, 2018",,,644627.3487999998,2206689.8577000014
DZALBYc000001,Algeria,Debdeb,Libya,Ghardamis,Official,,"November 28, 2018",,,1051143.8680000007,3504722.533
DZAMLIc000001,Algeria,Bordj Badji Mokhtar,Mali,El Khalil Bord,Not Official,,"March 26, 2018",,,116557.74080000073,2415002.226500001
ECUPER000001,Ecuador,Tumbes,Peru,,Not Official,,"February 8, 2018",,,-8955653.0343,-397296.56379999965
COLECU000004,Ecuador,Mataje,Colombia,Espriella,Official - Secondary,ayalacaj@unhcr.org,"January 4, 2022",core_edit,"April 19, 2022",-8761919.7213,151158.88659999892
ECUPER000002,Ecuador,Huaquillas,Peru,Aguas Verdes,Official - Principal,ayalacaj@unhcr.org,"January 4, 2022",core_edit,"April 19, 2022",-8932622.7528,-387777.3929999992
ECUPER000003,Ecuador,Macará,Peru,Piura,Official - Secondary,ayalacaj@unhcr.org,"January 4, 2022",core_edit,"April 19, 2022",-8901579.8661,-489466.39609999955
EGYLBYc000013,Egypt,Saloum,Libya,Musa id,Not Official,,"November 15, 2012",,,2800722.8112999983,3707651.2967000008
EGYSDNc000020,Egypt,Egyptian Arqeen,Sudan,Sudanese Arqeen,Official,,,UNHCR_WRITER,"June 21, 2023",3467713.098099999,2511984.0738999993
EGYSDNc000021,Egypt,Qustol,Sudan,Ashkeet,Official,,,UNHCR_WRITER,"June 21, 2023",3508402.534400001,2512301.1928000003
ETHSSDc000002,Ethiopia,Wanke,South Sudan,,Official,,"April 30, 2018",,,3797443.953499999,949875.1660000011
ETHSOMc000088,Ethiopia,Feerfeer,Somalia,,Not Official,,"November 15, 2012",,,5026075.022700001,568480.5824999996
ETHSOMc000093,Ethiopia,Korile,Somalia,,Not Official,,"November 15, 2012",,,5295097.166999999,893463.7606999986
ETHSSDc000001,Ethiopia,Burbiey,South Sudan,,Official,,"April 30, 2018",,,3699206.3451999985,941179.5427000001
ETHSOMc000087,Ethiopia,Dolo,Somalia,Doolow,Not Official,,"November 15, 2012",,,4681841.850400001,465228.96510000154
ETHSOMc000089,Ethiopia,Geladi,Somalia,,Not Official,,"November 15, 2012",,,5209086.482999999,763121.432
GINSLEc000001,Guinea,Madina-Oula,Sierra Leone,Sainya,Not Official,,"November 15, 2012",,,-1385469.0284999982,1104536.1884999983
GRCMKDc000001,Greece,Idomeni,North Macedonia,Gevgelija,Not Official,,"September 1, 2015",,,2505664.8148000017,5031040.495999999
HRVSVNc000001,Croatia,Harmica,Slovenia,Rigonce,Not Official,,"October 19, 2015",,,1746157.5326000005,5763011.501800001
HRVSVNc000002,Croatia,Bregana,Slovenia,Obrežje,Official,,"October 19, 2015",,,1746361.4699000008,5754746.075900003
HRVSVNc000003,Croatia,Mursko Središće,Slovenia,Petišovci,Official,,"October 19, 2015",,,1829981.1092000008,5862959.726499997
HRVHUNc000001,Croatia,Botovo,Hungary,Zákány,Not Official,,"October 7, 2015",,,1886178.4164000005,5820019.880000003
HRVSRBc000003,Croatia,Strošinci,Serbia,Jamena,Not Official,,"October 19, 2015",,,2124309.842799999,5606770.750200003
HRVSRBc000002,Croatia,Tovarnik,Serbia,Šid,Not Official,,"October 7, 2015",,,2134901.894099999,5644065.035400003
HRVSVNc000005,Croatia,Macelj,Slovenia,Gruškovje,Official,,"October 19, 2015",,,1765041.7710000016,5822595.7883
HRVSRBc000001,Croatia,Bapska,Serbia,Berkasovo,Not Official,,"October 7, 2015",,,2146177.1733999997,5649104.054099999
HRVHUNc000002,Croatia,Baranjsko Petrovo Selo,Hungary,Beremend,Official,,"October 7, 2015",,,2054321.163899999,5743248.684
HRVSVNc000004,Croatia,Trnovec,Slovenia,Središće of Dravi ,Not Official,,"October 19, 2015",,,1815620.8948,5842019.797200002
HTIDOMc000001,Haiti,Ouanaminthe,Dominican Republic,Dajabón,Official,,"January 27, 2016",,,-7983054.643300001,2219938.327799998
HTIDOcM000003,Haiti,Malpasse,Dominican Republic,Jimani,Official,,"January 27, 2016",,,-8001644.998199999,2095103.1482000016
HTIDOMc000004,Haiti,Anse-à-Pitres,Dominican Republic,PedePrnales,Official,,"January 27, 2016",,,-7987841.3814,2042403.5747999996
HTIDOMc000002,Haiti,Belladère,Dominican Republic,Elías Piña,Official,,"January 27, 2016",,,-7983978.899599999,2140097.689199999
HUNAUTc000001,Hungary,Hegyeshalom,Austria,Nickelsdorf,Not Official,,"October 19, 2015",,,1905046.2908000015,6094718.817000002
HUNSRBc000001,Hungary,Tompa,Serbia,Kelebija,Official,,"September 1, 2015",,,2177075.281399999,5807861.2742
HUNAUTc000002,Hungary,Szentgotthárd,Austria,Heiligenkreuz,Not Official,,"October 19, 2015",,,1811279.434700001,5935633.452500001
HUNSVNc000001,Hungary,Rédics,Slovenia,Lendava,Official,,"October 20, 2015",,,1833988.6108000018,5879572.5239999965
HUNHRVc000002,Hungary,Barcs,Croatia,Terezino Polje,Official,,"October 20, 2015",,,1943968.3715000004,5772340.3024
HUNHRVc000001,Hungary,Letenye,Croatia,Goričan,Official,,"October 20, 2015",,,1859146.8156999983,5847859.3939
HUNUKRc000004,Hungary,Beregsurány,Ukraine,Astei,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2512746.0062999986,6134298.4026999995
HUNUKRc000007,Hungary,Tiszaszentmarton,Ukraine,Salovka,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2477560.227400001,6169388.701399997
HUNUKRc000010,Hungary,Lonya,Ukraine,Horonhlab,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2484423.280699998,6159962.248000003
HUNUKRc000009,Hungary,Barabas,Ukraine,Koson,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2498803.4153000005,6148213.3169
HUNUKRc000002,Hungary,Záhony,Ukraine,Chop,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2468102.980300002,6175952.444300003
HUNUKRc000006,Hungary,Tiszabecs,Ukraine,Vylok,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2541884.4285000004,6122375.072400004
HUNUKRc000005,Hungary,Tiszabecs,Ukraine,Vylok,Official,leo,"February 23, 2022",UNHCR_WRITER,"February 24, 2022",2541992.817400001,6122469.0233
HUNROUc000003,Hungary,Csengersima,Romania,Petea,Other,sacksfer@unhcr.org,"March 15, 2022",core_edit,"March 16, 2022",2535429.1207999997,6082388.849699996
HUNROUc000002,Hungary,Artand,Romania,Borş,Other,sacksfer,"March 15, 2022",core_edit,"March 16, 2022",2425801.1744000018,5961449.958800003
HUNROUc000005,Hungary,Nagykereki,Romania,Bors II,Other,sacksfer,"March 15, 2022",core_edit,"March 16, 2022",2433349.814199999,5974253.765100002
HUNROUc000001,Hungary,Csanádpalota Autópálya Határátkelő,Romania,Nădlac II,Other,sacksfer,"March 15, 2022",core_edit,"March 16, 2022",2310927.2487999983,5814574.387999997
HUNROUc000004,Hungary,Gyula,Romania,Vărșand,Other,sacksfer,"March 15, 2022",core_edit,"March 16, 2022",2374296.6944000013,5882040.963200003
HUNROUc000006,Hungary,Vallaj,Romania,Urziceni,Other,sacksfer,"March 15, 2022",core_edit,"March 16, 2022",2492825.371100001,6064891.388700001
HUNAUTc000003,Hungary,Sopron,Austria,Klingenbach,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1841798.383299999,6063924.9586
HUNAUTc000004,Hungary,Kópháza,Austria,Deutschkreuz,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1850800.1772000007,6045020.377999999
HUNAUTc000005,Hungary,Bucsu,Austria,Schachendorf,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1833432.260499999,5983867.842200004
HUNAUTc000006,Hungary,Sopron,Austria,Loipersbach-Schattendorf,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1836114.7551999986,6056915.524700001
HUNAUTc000007,Hungary,Rábafuzes,Austria,Heiligenkreuz im Lafnitztal,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1811883.7448000014,5939592.225100003
HUNHRVc000003,Hungary,Udvar,Croatia,Dubosevica,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2077367.7883000001,5763823.8653
HUNROUc000007,Hungary,Nyírábrány,Romania,Valea lui Mihai,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2452410.2249,6028274.359899998
HUNROUc000008,Hungary,Lokosháza,Romania,Curtici,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2365848.8880000003,5846265.2348000035
HUNSVKc000001,Hungary,Tornyosnémeti,Slovakia,Milhost,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2365939.4230000004,6195717.740599997
HUNSVKc000002,Hungary,Somoskoújfalu,Slovakia,Siatorská Bukovinka,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2206590.9230999984,6134992.1021
HUNSVKc000003,Hungary,Parassapuszta,Slovakia,Sahy,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2111457.403099999,6116342.5449
HUNSVKc000004,Hungary,Esztergom,Slovakia,Stúrovo,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2085011.6937000006,6072932.829000004
HUNSVKc000005,Hungary,Komárom,Slovakia,Komárno,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2017207.9001999982,6065579.277099997
HUNSVKc000006,Hungary,Vámosszabadi,Slovakia,Medvedov,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1964972.4235999994,6072605.620899998
HUNSVKc000007,Hungary,Rajka,Slovakia,Cunovo,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1911939.1268999986,6108980.744000003
HUNSVKc000008,Hungary,Tornyosnémeti,Slovakia,Milhost,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2366800.3033999987,6195236.172499999
HUNSVKc000009,Hungary,Szob,Slovakia,Cunovo,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",2098706.1873999983,6077564.565899998
HUNSVNc000002,Hungary,Tornyiszentmiklós,Slovenia,Pince,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1839537.1171000004,5864044.0473000035
HUNSVNc000003,Hungary,Bajánsenye,Slovenia,Hodos,Other,Lopesi,"May 16, 2022",core_edit,"May 17, 2022",1819029.9039999992,5912662.364200003
IRNAFGc000016,Islamic Republic of Iran,Ghargharook,Afghanistan,Rubat                                                                                               ,Not Official,,"November 15, 2012",,,6778005.4727,3486670.7617999986
IRNAFGc000021,Islamic Republic of Iran,Dogharoun,Afghanistan,Islam-Qala                                                                                          ,Official,,"November 15, 2012",,,6791027.273200002,4124282.9672000036
IRNPAKc000005,Islamic Republic of Iran,Kalagan,Pakistan,,Not Official,,,,,6995762.079399999,3188999.9133
IRNPAKc000004,Islamic Republic of Iran,Kuhak,Pakistan,Chadgi,Official,,,,,7048800.250799999,3141224.0018000007
IRNPAKc000003,Islamic Republic of Iran,Pishin,Pakistan,Mand,Official,SHUBINAE,"July 6, 2021",,,6884776.5471,3010939.6259999983
IRNAFGc000022,Islamic Republic of Iran,Mil 78 (Mahirood),Afghanistan,Abu Nasr-e-Farahi,Official,,,,,6775794.7656,3784652.997299999
IRNPAKc000002,Islamic Republic of Iran,Rimdan,Pakistan,Gabd,Official,,,,,6863625.843800001,2922425.688099999
IRNPAKc000006,Islamic Republic of Iran,Jalq,Pakistan,,Official,,,,,6994537.565000001,3210433.343600001
IRNTURc000001,Islamic Republic of Iran,Razi,Turkey,Kapikoy Border Gate,Other,Lopesi,"September 17, 2021",,,4933786.645399999,4649895.870999999
IRNPAKc000001,Islamic Republic of Iran,Mirjaveh,Pakistan,Taftan,Official,,,,,6851714.658300001,3372784.127700001
IRNAFGc000018,Islamic Republic of Iran,Milak,Afghanistan,Nimroz (Zaranj),Official,,"November 15, 2012",,,6881899.736400001,3628604.980800003
IRNIRQc000008,Islamic Republic of Iran,Omran,Iraq,Omran                                                                                               ,Not Official,,"November 15, 2012",,,5013829.8609,4355801.2729
IRNIRQc000003,Islamic Republic of Iran,Shalamchah,Iraq,Shalamchah                                                                                          ,Not Official,,"November 15, 2012",,,5381426.5275,3537897.3731999993
IRNIRQc000010,Islamic Republic of Iran,Khosravi,Iraq,Khosravi                                                                                            ,Not Official,,"November 15, 2012",,,5058357.6526999995,4076704.8906000033
IRQSYRc000152,Iraq,Sahel,Syrian Arab Republic,,Not Official,,"June 18, 2014",,,4713573.689399999,4443408.445299998
JORSYRc000082,Jordan,Ramtha,Syrian Arab Republic,,Not Official,,"November 15, 2012",,,4013178.975900002,3840216.205799997
JORIRQc000012,Jordan,Karameh,Iraq,Trebil                                                                                              ,Not Official,,"November 15, 2012",,,4338564.627500001,3858793.981700003
JORSYRc000080,Jordan,Tal Shihab,Syrian Arab Republic,,Not Official,,"November 15, 2012",,,4005052.644200001,3850525.583999999
JORSYRc000081,Jordan,Tiba,Syrian Arab Republic,,Not Official,,"November 15, 2012",,,4039005.079999998,3825560.6319999993
JORSYRc000078,Jordan,Al Naseeb,Syrian Arab Republic,,Not Official,,"November 15, 2012",,,4027768.285799999,3831982.1724999994
JORSYRc000079,Jordan,Al Hayt,Syrian Arab Republic,,Not Official,,"November 15, 2012",,,3995556.7487999983,3859388.234099999
